date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-05-17,7.0,3.0,0.0
2021-05-16,7.0,3.0,0.0
2021-05-15,7.0,3.0,2.0
2021-05-14,10.0,3.0,1.0
2021-05-13,10.0,3.0,1.0
2021-05-12,9.0,3.0,1.0
2021-05-11,10.0,3.0,1.0
2021-05-10,12.0,3.0,3.0
2021-05-09,12.0,3.0,0.0
2021-05-08,12.0,3.0,2.0
2021-05-07,14.0,4.0,1.0
2021-05-06,14.0,4.0,0.0
2021-05-05,17.0,4.0,0.0
2021-05-04,19.0,4.0,0.0
2021-05-03,18.0,4.0,1.0
2021-05-02,18.0,5.0,1.0
2021-05-01,16.0,5.0,1.0
2021-04-30,18.0,5.0,1.0
2021-04-29,18.0,5.0,0.0
2021-04-28,18.0,5.0,1.0
2021-04-27,21.0,4.0,1.0
2021-04-26,21.0,4.0,1.0
2021-04-25,23.0,4.0,1.0
2021-04-24,23.0,4.0,2.0
2021-04-23,25.0,4.0,1.0
2021-04-22,24.0,3.0,1.0
2021-04-21,26.0,2.0,1.0
2021-04-20,26.0,2.0,0.0
2021-04-19,28.0,3.0,2.0
2021-04-18,28.0,3.0,1.0
2021-04-17,34.0,6.0,3.0
2021-04-16,35.0,5.0,1.0
2021-04-15,35.0,5.0,4.0
2021-04-14,38.0,5.0,2.0
2021-04-13,39.0,5.0,2.0
2021-04-12,43.0,7.0,3.0
2021-04-11,42.0,9.0,1.0
2021-04-10,46.0,9.0,1.0
2021-04-09,43.0,8.0,5.0
2021-04-08,46.0,8.0,6.0
2021-04-07,47.0,9.0,2.0
2021-04-06,49.0,9.0,3.0
2021-04-05,51.0,9.0,3.0
2021-04-04,48.0,10.0,2.0
2021-04-03,51.0,12.0,4.0
2021-04-02,57.0,14.0,4.0
2021-04-01,55.0,15.0,2.0
2021-03-31,57.0,16.0,6.0
2021-03-30,58.0,17.0,4.0
2021-03-29,62.0,18.0,2.0
2021-03-28,60.0,18.0,6.0
2021-03-27,68.0,19.0,3.0
2021-03-26,79.0,21.0,0.0
2021-03-25,82.0,21.0,6.0
2021-03-24,88.0,19.0,5.0
2021-03-23,92.0,18.0,5.0
2021-03-22,95.0,18.0,3.0
2021-03-21,98.0,18.0,4.0
2021-03-20,103.0,19.0,2.0
2021-03-19,103.0,20.0,4.0
2021-03-18,109.0,22.0,9.0
2021-03-17,112.0,19.0,11.0
2021-03-16,117.0,20.0,7.0
2021-03-15,118.0,19.0,9.0
2021-03-14,122.0,22.0,6.0
2021-03-13,126.0,23.0,2.0
2021-03-12,132.0,24.0,12.0
2021-03-11,143.0,27.0,8.0
2021-03-10,141.0,28.0,13.0
2021-03-09,149.0,28.0,10.0
2021-03-08,157.0,27.0,8.0
2021-03-07,167.0,31.0,6.0
2021-03-06,167.0,32.0,6.0
2021-03-05,177.0,30.0,9.0
2021-03-04,190.0,30.0,6.0
2021-03-03,199.0,32.0,8.0
2021-03-02,217.0,37.0,11.0
2021-03-01,229.0,42.0,11.0
2021-02-28,224.0,40.0,11.0
2021-02-27,226.0,35.0,18.0
2021-02-26,240.0,40.0,9.0
2021-02-25,240.0,40.0,18.0
