date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2021-06-06,12.0,5.0,0.0
2021-06-05,10.0,5.0,0.0
2021-06-04,10.0,4.0,1.0
2021-06-03,9.0,4.0,1.0
2021-06-02,11.0,5.0,1.0
2021-06-01,10.0,4.0,2.0
2021-05-31,9.0,4.0,1.0
2021-05-30,9.0,4.0,0.0
2021-05-29,9.0,4.0,0.0
2021-05-28,10.0,4.0,0.0
2021-05-27,10.0,4.0,0.0
2021-05-26,12.0,6.0,1.0
2021-05-25,12.0,6.0,0.0
2021-05-24,14.0,6.0,0.0
2021-05-23,10.0,4.0,0.0
2021-05-22,10.0,4.0,0.0
2021-05-21,16.0,7.0,0.0
2021-05-20,17.0,8.0,0.0
2021-05-19,16.0,6.0,0.0
2021-05-18,16.0,7.0,0.0
2021-05-17,16.0,7.0,0.0
2021-05-16,15.0,6.0,0.0
2021-05-15,15.0,6.0,1.0
2021-05-14,15.0,6.0,0.0
2021-05-13,16.0,7.0,0.0
2021-05-12,15.0,8.0,0.0
2021-05-11,17.0,9.0,0.0
2021-05-10,16.0,8.0,0.0
2021-05-09,16.0,8.0,1.0
2021-05-08,18.0,8.0,1.0
2021-05-07,20.0,9.0,0.0
2021-05-06,21.0,9.0,0.0
2021-05-05,21.0,9.0,0.0
2021-05-04,22.0,10.0,0.0
2021-05-03,22.0,10.0,2.0
2021-05-02,22.0,10.0,1.0
2021-05-01,23.0,11.0,1.0
2021-04-30,26.0,11.0,1.0
2021-04-29,25.0,11.0,1.0
2021-04-28,26.0,12.0,1.0
2021-04-27,28.0,12.0,0.0
2021-04-26,28.0,14.0,0.0
2021-04-25,29.0,14.0,0.0
2021-04-24,28.0,13.0,1.0
2021-04-23,29.0,14.0,0.0
2021-04-22,30.0,14.0,0.0
2021-04-21,34.0,14.0,0.0
2021-04-20,32.0,15.0,0.0
2021-04-19,33.0,15.0,0.0
2021-04-18,33.0,14.0,0.0
2021-04-17,33.0,13.0,0.0
2021-04-16,33.0,13.0,1.0
2021-04-15,29.0,20.0,0.0
2021-04-14,31.0,21.0,0.0
2021-04-13,32.0,21.0,0.0
2021-04-12,35.0,22.0,1.0
2021-04-11,35.0,23.0,2.0
2021-04-10,35.0,22.0,2.0
2021-04-09,36.0,23.0,0.0
2021-04-08,36.0,24.0,0.0
2021-04-07,35.0,25.0,0.0
2021-04-06,36.0,25.0,2.0
2021-04-05,36.0,26.0,0.0
2021-04-04,38.0,25.0,0.0
2021-04-03,42.0,27.0,0.0
2021-04-02,44.0,26.0,0.0
2021-04-01,49.0,28.0,0.0
2021-03-31,50.0,29.0,0.0
2021-03-30,52.0,29.0,0.0
2021-03-29,54.0,31.0,0.0
2021-03-28,54.0,25.0,1.0
2021-03-27,62.0,31.0,0.0
2021-03-26,68.0,31.0,0.0
2021-03-25,71.0,31.0,1.0
2021-03-24,74.0,36.0,0.0
2021-03-23,72.0,38.0,3.0
2021-03-22,80.0,37.0,0.0
2021-03-21,79.0,40.0,0.0
2021-03-20,86.0,44.0,0.0
2021-03-19,89.0,47.0,1.0
2021-03-18,89.0,48.0,1.0
2021-03-17,94.0,47.0,0.0
2021-03-16,97.0,49.0,1.0
2021-03-15,105.0,50.0,0.0
2021-03-14,109.0,52.0,0.0
2021-03-13,110.0,51.0,1.0
2021-03-12,115.0,54.0,0.0
2021-03-11,120.0,56.0,2.0
2021-03-10,129.0,59.0,3.0
2021-03-09,129.0,55.0,1.0
2021-03-08,127.0,55.0,0.0
2021-03-07,124.0,58.0,1.0
2021-03-06,136.0,60.0,0.0
2021-03-05,145.0,72.0,0.0
2021-03-04,147.0,65.0,2.0
2021-03-03,151.0,68.0,0.0
2021-03-02,160.0,75.0,1.0
2021-03-01,168.0,80.0,2.0
2021-02-28,168.0,80.0,1.0
2021-02-27,167.0,81.0,1.0
2021-02-26,178.0,91.0,0.0
2021-02-25,186.0,94.0,3.0
2021-02-24,205.0,104.0,0.0
2021-02-23,52.0,30.0,1.0
2021-02-22,216.0,108.0,4.0
2021-02-21,217.0,109.0,2.0
2021-02-20,218.0,114.0,2.0
2021-02-19,231.0,117.0,2.0
2021-02-18,250.0,123.0,5.0
2021-02-17,256.0,123.0,3.0
2021-02-16,272.0,128.0,3.0
2021-02-15,277.0,130.0,7.0
2021-02-14,281.0,137.0,2.0
2021-02-13,271.0,136.0,6.0
2021-02-12,280.0,136.0,7.0
2021-02-11,304.0,136.0,3.0
2021-02-10,307.0,140.0,6.0
2021-02-09,332.0,143.0,4.0
2021-02-08,355.0,145.0,5.0
2021-02-07,342.0,148.0,12.0
2021-02-06,356.0,156.0,12.0
2021-02-05,362.0,148.0,10.0
2021-02-04,371.0,147.0,7.0
2021-02-03,372.0,164.0,11.0
2021-02-02,372.0,159.0,16.0
2021-02-01,387.0,169.0,13.0
2021-01-31,311.0,127.0,14.0
2021-01-30,327.0,135.0,9.0
2021-01-29,352.0,119.0,11.0
2021-01-28,383.0,135.0,13.0
2021-01-27,386.0,139.0,9.0
2021-01-26,392.0,141.0,7.0
2021-01-25,390.0,145.0,18.0
2021-01-24,394.0,147.0,18.0
2021-01-23,395.0,150.0,14.0
2021-01-22,395.0,144.0,14.0
2021-01-21,410.0,142.0,20.0
2021-01-20,408.0,144.0,20.0
2021-01-19,423.0,147.0,19.0
2021-01-18,452.0,151.0,13.0
2021-01-17,415.0,152.0,5.0
2021-01-16,402.0,148.0,54.0
2021-01-15,404.0,138.0,5.0
2021-01-14,412.0,134.0,9.0
2021-01-13,422.0,134.0,25.0
2021-01-12,403.0,126.0,27.0
2021-01-11,393.0,122.0,4.0
2021-01-10,383.0,120.0,36.0
2021-01-09,367.0,116.0,12.0
2021-01-08,371.0,114.0,2.0
2021-01-07,363.0,103.0,24.0
2021-01-06,341.0,108.0,28.0
2021-01-05,326.0,102.0,28.0
2021-01-04,293.0,92.0,24.0
2021-01-03,298.0,82.0,26.0
2021-01-02,285.0,78.0,28.0
2021-01-01,276.0,69.0,15.0
2020-12-31,277.0,68.0,19.0
2020-12-30,286.0,69.0,19.0
2020-12-29,267.0,63.0,26.0
2020-12-28,224.0,58.0,23.0
2020-12-27,176.0,50.0,28.0
2020-12-26,181.0,49.0,28.0
2020-12-25,169.0,43.0,27.0
2020-12-24,158.0,45.0,26.0
2020-12-23,147.0,40.0,23.0
2020-12-22,136.0,40.0,11.0
2020-12-21,134.0,40.0,10.0
2020-12-20,118.0,34.0,3.0
2020-12-19,109.0,31.0,2.0
2020-12-18,106.0,30.0,1.0
2020-12-17,96.0,28.0,0.0
2020-12-16,90.0,27.0,1.0
2020-12-15,99.0,28.0,1.0
2020-12-14,78.0,28.0,2.0
2020-12-13,78.0,28.0,1.0
2020-12-12,78.0,29.0,2.0
2020-12-11,70.0,29.0,2.0
2020-12-10,61.0,32.0,1.0
2020-12-09,65.0,30.0,2.0
2020-12-08,73.0,28.0,5.0
2020-12-07,70.0,27.0,2.0
2020-12-06,64.0,26.0,1.0
2020-12-05,65.0,25.0,4.0
2020-12-04,70.0,28.0,1.0
2020-12-03,68.0,28.0,2.0
2020-12-02,66.0,26.0,2.0
2020-12-01,61.0,26.0,5.0
2020-11-30,65.0,23.0,3.0
2020-11-29,62.0,23.0,3.0
2020-11-28,62.0,24.0,0.0
2020-11-27,64.0,27.0,0.0
2020-11-26,64.0,26.0,1.0
2020-11-25,55.0,26.0,2.0
2020-11-24,56.0,26.0,0.0
2020-11-23,53.0,26.0,0.0
2020-11-22,47.0,22.0,4.0
2020-11-21,47.0,21.0,4.0
2020-11-20,50.0,23.0,5.0
2020-11-19,51.0,22.0,0.0
2020-11-18,45.0,20.0,0.0
2020-11-17,50.0,18.0,3.0
2020-11-16,53.0,17.0,2.0
2020-11-15,47.0,19.0,3.0
2020-11-14,46.0,18.0,0.0
2020-11-13,45.0,20.0,4.0
2020-11-12,43.0,17.0,0.0
2020-11-11,40.0,16.0,4.0
2020-11-10,38.0,13.0,3.0
2020-11-09,39.0,12.0,2.0
2020-11-08,43.0,13.0,1.0
2020-11-07,34.0,9.0,1.0
2020-11-06,32.0,8.0,0.0
2020-11-05,32.0,10.0,3.0
2020-11-04,24.0,9.0,2.0
2020-11-03,27.0,8.0,1.0
2020-11-02,23.0,9.0,1.0
2020-11-01,19.0,7.0,3.0
2020-10-31,21.0,7.0,0.0
2020-10-30,21.0,7.0,0.0
2020-10-29,25.0,9.0,1.0
2020-10-28,23.0,7.0,1.0
2020-10-27,26.0,10.0,0.0
2020-10-26,23.0,10.0,5.0
2020-10-25,20.0,10.0,4.0
2020-10-24,21.0,10.0,1.0
2020-10-23,19.0,10.0,8.0
2020-10-22,23.0,11.0,15.0
2020-10-21,18.0,11.0,8.0
