year,ltla,ag,ag_ppln_ltla,agf_ppln_ltla,tfp_ltla_ag,ag_ltla_frac_tp,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2019,E07000225,55-59,9038,0.07461466700790068,3.7161545900801036e-05,1.6071954519289986e-05,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,60-64,8493,0.0701153315886369,3.4920669322361496e-05,1.5102800368702136e-05,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,65-69,7983,0.0659049443155644,3.282370224895936e-05,1.4195885475491477e-05,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,70-74,8769,0.07239389411288792,3.605549856208501e-05,1.559360136973378e-05,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,75-79,6519,0.05381865614345037,2.6804173238252048e-05,1.1592506252627954e-05,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,80-84,4723,0.03899148841317934,1.9419559779761374e-05,8.398743216929257e-06,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,85-89,3213,0.026525439820356808,1.3210892562433472e-05,5.7135638272271226e-06,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000225,90+,1994,0.016461788671581535,8.198730086987968e-06,3.5458594060040096e-06,121129,26,52204,0.0004980461267335836,60.32782928511224,120706,0.00021539940019551642
2019,E07000226,0-4,7829,0.06964744815806564,0.0002140920824891474,7.50100927919783e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,10-14,7266,0.06463895239705006,0.00019869626661976554,6.961595787795559e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,15-19,6018,0.05353663852538498,0.00016456841900877364,5.76587991342605e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,20-24,5659,0.05034294407031466,0.00015475119361426553,5.421919978411101e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,25-29,7528,0.06696972662331308,0.00020586092693553474,7.212619472959671e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,30-34,8916,0.07931749237160726,0.00024381721899006744,8.542470140928325e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,35-39,9525,0.0847352080349438,0.00026047095231946976,9.125956493084597e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,40-44,8232,0.07323257034579081,0.00022511253328019688,7.887125863629651e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,45-49,7795,0.06934498127374143,0.00021316231741000174,7.468433686466609e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,5-9,8325,0.07405990623526587,0.00022765571423197754,7.976229690806225e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,50-54,7473,0.0664804419574945,0.00020435689518985794,7.159923661188578e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,55-59,6796,0.06045779252550952,0.00018584363170216447,6.511286123569862e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,60-64,5772,0.051348201656451,0.00015784129520083774,5.530185918958983e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,65-69,4453,0.03961426576163831,0.00012177187933633585,4.266444542121336e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,70-74,3942,0.035068366411942095,0.00010779805711741205,3.77685254548446e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,75-79,2490,0.022151251234331773,6.809161903154642e-05,2.3856831147276278e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,80-84,1980,0.017614247969468637,5.414514284436221e-05,1.8970492237593184e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,85-89,1515,0.013477568522093426,4.1429238085458974e-05,1.4515300878764482e-05,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000226,90+,895,0.007961995925593147,2.447469840692131e-05,8.575045733659545e-06,112409,130,42291,0.003073940081814097,345.5385306566408,120706,0.0010769970009775818
2019,E07000227,0-4,7276,0.050601219825997454,6.572179719440455e-05,3.0183154337579042e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,10-14,8850,0.06154766292744331,7.993923930325458e-05,3.671260526217352e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,15-19,7604,0.052882308350314,6.86845170239489e-05,3.1543802306617795e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,20-24,5929,0.04123345689229507,5.3554773991977005e-05,2.4595371367166874e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,25-29,6944,0.048292313148945346,6.272294663523163e-05,2.8805913100625194e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,30-34,7456,0.05185303669909799,6.734768002769109e-05,3.0929851393758854e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
2019,E07000227,35-39,8239,0.05729844009708536,7.442027035248753e-05,3.417798358814098e-05,143791,72,55435,0.0012988184360061333,186.75840173175789,120706,0.0005964906466952763
