date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate,V12-15,V16-17,V18-24,V25-29,V30-34,V35-39,V40-44,V45-49,V50-54,V55-59,V60-64,V65-69,V70-74,V75-79,V80-84,V85-89,V90+
2020-03-22,14.0,0.0,10.0,0.0002754245882319677,0.0,0.0,0.0,0.017801540038459816,0.0750436672140376,1.57952069999002,0.0764135816881252,0.074169134922833,0.0,0.4371907606282462,2.5823617092882216,0.06193857616817436,0.2873759845042289,0.04322239012423839,0.954030361657804,0.5778486698841448,1.418629034415595,0.7815405773478332,8.967362112460194,2.4824160656648213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,28.0,0.0,14.0,0.2851323924499745,0.0,0.0,0.06639056311739236,0.2564830318639265,1.2741951844730297,1.1154992422852392,0.4539648189245017,2.00785201859536,0.0,2.579944955433244,0.0985282126638032,0.8266739134995307,0.7311784307819744,0.7349934174218447,1.6580107614580073,0.9016326279234339,0.43351032897427194,0.24095751026316475,13.6649474101287,1.1491964211798515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,28.0,0.0,15.0,0.0,0.0,0.05484223378691094,0.6429132936368303,0.8009203567534798,0.012547177361297122,0.11378712130034103,1.4704935100380694,0.10257856900693298,0.0,2.6251004432132627,0.08268853168044388,1.935025741653556,0.04736550704249319,3.692066798373744,1.2387389302629883,1.3212952679477064,0.5521663229961569,0.842148043096976,15.534677848151187,2.281576153144997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,54.0,0.0,16.0,0.001091878683850885,0.00022332549180199395,0.09286050782201657,0.002979899465479512,0.11229921361407112,1.7477142609921623,1.8611204061933317,0.1332572758866123,0.13035028318845437,0.0,1.6608600854442968,2.721552862818665,2.6223728942756503,1.1092869978635895,4.055037206976494,1.139681066201096,1.3112289263992387,1.4423411056777253,0.7898024076666114,20.934060604661145,2.495566521502307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,5.0,0.0,16.0,0.00811695128331098,0.0,0.010656932142502672,0.0,0.8909530573416004,0.014753158407462146,0.16098953569594754,0.14596456802591107,2.0766301513062477,0.0001754732293654449,2.1797789817046036,3.1449509545332894,0.34939968231636165,0.7515046273458577,0.9877972213651606,2.5316588318050934,0.8888517161598317,0.9475230952676438,0.7720869850206126,15.861791922950797,1.814702619597962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,46.0,0.0,29.0,2.7951642985098717,0.0,0.0,0.028172387531467762,0.1378566173334923,0.11951457162572492,0.1264923969041639,0.5727214391272513,1.6469552174834192,0.0,1.3513697411879848,0.3966139610442946,0.10337483649933071,0.07791093897350775,1.6201238945533518,0.436963086636933,2.491442396986152,0.8882386916650922,0.5847460432364553,13.377660519298495,3.8222015987118034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,46.0,0.0,13.0,0.0,0.0,0.0,0.16430177701487053,0.008821455249752062,1.522696141447309,0.10822664055213314,0.019193754509114643,1.3696305199065173,0.0,1.9696557455753863,1.2729583050982125,0.8251502017431107,0.9289541821883635,0.05921921127444536,1.1418829408911422,0.3760883991497723,0.7829055193051058,0.48843517288388594,11.039618939715078,2.9410978567904125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,81.0,0.0,11.0,0.0,0.0,0.0,0.0035644319337295415,0.06199183331112818,0.07786916600549876,0.3678200684767183,1.4163827357124126,0.9260910405785386,0.0,0.8406783688294585,0.10759232390101997,0.09051029938906978,0.9054015416821303,1.3135068316945238,0.7278708140820115,0.23611770044751287,0.7310505842115581,0.23552362968911392,8.041971369944422,5.437016647647963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,74.0,0.0,25.0,0.44836137164417045,0.0,0.0009049828001063671,0.10085671116251246,1.1663000893500046,0.16661980138563556,2.3617041703055897,1.3283049865648502,2.017965485042561,0.13467379372981422,2.0756745325163206,3.093289001763652,2.936624910109687,2.669464860821855,1.0593749220702833,0.6522130496233272,2.7462760179116006,1.4246119122838403,0.43356205012744253,24.816782649213252,4.080340581890605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,86.0,0.0,20.0,0.10673888796119213,0.0,0.0,0.00023874856813524604,1.4839798695861262,1.5111663283302836,2.242926504591467,0.12343930532855063,2.2412680850407636,0.10385463526530118,3.620851122062394,2.5584134969973946,3.513226773489354,0.8319993526719365,3.997632537582729,0.37661913243400463,2.29183447590705,1.166707202622043,0.853768364428613,27.024664822867337,3.3868922950286753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
