year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,tfp_msoa_ag,msoa_frac_tp,ag_msoa_frac_tp
2011,E02003433,E06000040,6638,138487,190,2647,0.07177937287495277,476.4714771439365,female,0-4,212,0.031937330521241335,0.0022924415561147915,0.0013719699321958017,4.381705718974238e-05
2011,E02003433,E06000040,6638,138487,190,2647,0.07177937287495277,476.4714771439365,male,0-4,257,0.038716480867731246,0.002779044716610856,0.0013719699321958017,5.311784763096129e-05
2011,E02003429,E06000040,7473,138487,227,2616,0.0867737003058104,648.4598623853211,female,0-4,221,0.029573129934430616,0.0025661699140350725,0.0016391430242549843,4.8474589637408205e-05
2011,E02003429,E06000040,7473,138487,227,2616,0.0867737003058104,648.4598623853211,male,0-4,252,0.0337213970293055,0.002926130399714201,0.0016391430242549843,5.527419270871887e-05
2011,E02003431,E06000040,6624,138487,132,2490,0.05301204819277108,351.15180722891563,female,0-4,216,0.03260869565217391,0.0017286537454164483,0.0009531580581570834,3.1081241026861416e-05
2011,E02003431,E06000040,6624,138487,132,2490,0.05301204819277108,351.15180722891563,male,0-4,227,0.034269323671497584,0.0018166870380071007,0.0009531580581570834,3.266408200508121e-05
2011,E02003693,E06000060,6208,138487,148,2268,0.06525573192239859,405.10758377425043,female,0-4,148,0.02384020618556701,0.0015557101038200694,0.0010686923682367297,2.547784640770554e-05
2011,E02003693,E06000060,6208,138487,148,2268,0.06525573192239859,405.10758377425043,male,0-4,135,0.021746134020618556,0.0014190598919980363,0.0010686923682367297,2.323992746648816e-05
2011,E02003428,E06000040,9035,138487,276,3233,0.08536962573461182,771.3145685122178,female,0-4,289,0.03198671831765357,0.0027306941712565373,0.0019929668488739014,6.374846921135113e-05
2011,E02003428,E06000040,9035,138487,276,3233,0.08536962573461182,771.3145685122178,male,0-4,270,0.029883785279468732,0.0025511675648417476,0.0019929668488739014,5.955739338084708e-05
