msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02002695,E06000011,8296,336756,10,3588,0.002787068004459309,23.12151616499443,female,25-29,172,0.020732883317261332,5.778395573372724e-05
E02002695,E06000011,8296,336756,10,3588,0.002787068004459309,23.12151616499443,male,25-29,183,0.022058823529411766,6.14794412748377e-05
E02002721,E06000011,6371,336756,1627,2918,0.5575736806031528,3552.3019191226867,female,25-29,151,0.023701145816983207,0.013215135107687346
E02002721,E06000011,6371,336756,1627,2918,0.5575736806031528,3552.3019191226867,male,25-29,131,0.020561921205462252,0.011464786086801605
E02002707,E06000011,7347,336756,86,2615,0.03288718929254302,241.62217973231358,female,25-29,115,0.015652647339049953,0.0005147715759687557
E02002707,E06000011,7347,336756,86,2615,0.03288718929254302,241.62217973231358,male,25-29,269,0.03661358377569076,0.0012041178603095241
E02002723,E06000011,8581,336756,2594,3984,0.6511044176706827,5587.127008032128,female,25-29,324,0.037757837081925184,0.024584294525731406
E02002723,E06000011,8581,336756,2594,3984,0.6511044176706827,5587.127008032128,male,25-29,315,0.03670900827409393,0.023901397455572203
E02002720,E06000011,7424,336756,1875,3288,0.5702554744525548,4233.576642335766,female,25-29,167,0.022494612068965518,0.012827675678014096
E02002720,E06000011,7424,336756,1875,3288,0.5702554744525548,4233.576642335766,male,25-29,232,0.03125,0.017820483576642336
E02001540,E08000017,11557,305496,24,5099,0.004706805255932536,54.396548342812316,female,25-29,358,0.0309768971186294,0.0001458022221704463
E02001540,E08000017,11557,305496,24,5099,0.004706805255932536,54.396548342812316,male,25-29,280,0.024227740763173834,0.00011403525756347756
E02002722,E06000011,8689,336756,9,3926,0.002292409577177789,19.91874681609781,female,25-29,203,0.023362872597537117,5.3557272892978616e-05
E02002722,E06000011,8689,336756,9,3926,0.002292409577177789,19.91874681609781,male,25-29,189,0.02175164000460352,4.986366786587664e-05
E02001547,E08000017,10595,305496,14,4780,0.0029288702928870294,31.031380753138077,female,25-29,377,0.03558282208588957,0.00010421747054444645
E02001547,E08000017,10595,305496,14,4780,0.0029288702928870294,31.031380753138077,male,25-29,333,0.03142991977347805,9.20541583323625e-05
E02002680,E06000010,9302,258587,10,4067,0.0024588148512417014,22.871895746250306,female,25-29,502,0.05396688884110944,0.00013269458775782994
E02002680,E06000010,9302,258587,10,4067,0.0024588148512417014,22.871895746250306,male,25-29,656,0.07052246828639003,0.0001734016923687977
E02002718,E06000011,7900,336756,23,2790,0.008243727598566309,65.12544802867384,female,25-29,111,0.014050632911392405,0.00011582959030896965
E02002718,E06000011,7900,336756,23,2790,0.008243727598566309,65.12544802867384,male,25-29,92,0.011645569620253165,9.600290367950638e-05
E02002708,E06000011,6850,336756,12,2568,0.004672897196261682,32.00934579439252,female,25-29,131,0.019124087591240877,8.936489528617231e-05
E02002708,E06000011,6850,336756,12,2568,0.004672897196261682,32.00934579439252,male,25-29,132,0.01927007299270073,9.004707005934919e-05
E02001541,E08000017,11258,305496,255,5344,0.04771706586826347,537.1987275449102,female,25-29,384,0.03410907798898561,0.0016275851211061622
E02001541,E08000017,11258,305496,255,5344,0.04771706586826347,537.1987275449102,male,25-29,375,0.03330964647361876,0.0015894385948302364
E02002717,E06000011,7541,336756,15,3031,0.0049488617617947876,37.31936654569449,female,25-29,261,0.034610794324360164,0.00017128403657717007
E02002717,E06000011,7541,336756,15,3031,0.0049488617617947876,37.31936654569449,male,25-29,253,0.03354992706537595,0.00016603395116484304
E02002681,E06000010,8329,258587,14,4203,0.0033309540804187486,27.743516535807757,female,25-29,389,0.046704286228838994,0.00015556983278699641
