ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E06000037,male,4933,5247,4899,4967,3910,4226,4436,4704,5765,6332,6164,5276,4447,4429,3220,2355,1567,858,401
E06000038,female,6092,5318,3954,4764,7438,6752,7217,6351,5251,5126,4653,3700,3073,3006,2352,1914,1574,1097,711
E06000038,male,6376,5581,4251,4660,7067,6908,7601,6889,5899,5390,4812,4030,3103,2817,2038,1723,1153,736,324
E06000039,female,6401,6098,4698,4179,3896,5744,7295,6458,5119,4685,4179,3523,2780,2264,1604,1405,1186,713,475
E06000039,male,6797,6237,4979,4485,4016,5288,6798,7037,5774,4896,4245,3446,3069,2123,1487,1214,827,401,217
E06000040,female,4349,4720,4339,3961,3086,4115,5015,5129,5664,5850,5403,4421,3857,4128,3251,2722,2131,1498,1092
E06000040,male,4636,4946,4844,4797,3143,4388,4499,5093,5616,5703,5655,4404,3757,3879,2900,2232,1652,934,468
E06000041,female,4901,5345,4954,4538,3426,4138,4965,5954,6322,6377,6267,5035,4255,4613,3450,2734,2085,1303,930
E06000041,male,5271,5690,5217,4920,3808,4336,4260,5497,6109,6284,6172,5296,4152,4111,3156,2420,1687,838,384
E06000042,female,9843,9886,7967,7142,6452,9281,10925,10616,9803,9414,8695,7580,6852,6242,4096,3223,2310,1523,1050
E06000042,male,10511,10253,8298,7793,6783,8410,10595,10687,10053,9322,8513,7562,6452,5712,3746,2627,1638,901,425
E06000043,female,7333,7172,6469,8319,16236,11964,10362,10070,10194,10339,9555,6995,5811,5671,4370,3663,3050,2281,1673
E06000043,male,7593,7474,6893,8417,15887,12943,11773,10306,10763,10762,9478,7071,5816,5941,3982,3110,2279,1367,691
E06000044,female,6651,6227,5228,6560,10967,8320,7535,6156,6404,6754,6631,5455,4389,4722,3396,2998,2311,1675,1239
E06000044,male,6929,6685,5426,7179,13504,8916,8121,6608,6676,6921,6678,5640,4309,4521,3231,2435,1706,925,510
E06000045,female,7912,6919,5493,8020,15498,10203,9213,7729,6767,6828,6956,5916,5185,5129,3964,3204,2721,1932,1256
E06000045,male,8532,7353,5801,8488,17469,11337,10014,8374,7669,7088,7264,6126,5050,4910,3545,2643,1877,1151,518
E06000046,female,3301,3289,3324,3736,3187,3275,3287,3211,4207,5251,5205,5055,5050,5845,4615,3440,2728,1943,1459
