year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2013,E08000025,1092190,135136,497,422035,0.0011776274479604772,1286.1929223879536,male,5-9,40364,0.03695693972660435,4.352150661467025e-05,0.0036777764622306416,0.000135919363042582
2013,E08000027,314357,135136,100702,125409,0.8029886212313311,252425.09400441754,female,5-9,9268,0.02948240376387356,0.023674034748938234,0.745190030783803,0.021969993368381447
2013,E08000027,314357,135136,100702,125409,0.8029886212313311,252425.09400441754,male,5-9,9435,0.030013646904633904,0.024100616946075987,0.745190030783803,0.022365870460798333
2013,E08000028,313980,135136,19815,132370,0.14969403943491727,47000.93450177532,female,5-9,10539,0.03356583221861265,0.005024605011798819,0.14663006156760597,0.004921760044783105
2013,E08000028,313980,135136,19815,132370,0.14969403943491727,47000.93450177532,male,5-9,11119,0.03541308363590038,0.005301127538304495,0.14663006156760597,0.0051926226338308516
2013,E08000030,271955,135136,737,107483,0.00685689830019631,1864.7677772298875,female,5-9,8642,0.03177731610009009,0.00021789382475150855,0.005453765095903386,0.00017330601738816003
2013,E08000030,271955,135136,737,107483,0.00685689830019631,1864.7677772298875,male,5-9,9052,0.03328491846077476,0.00022823130081585925,0.005453765095903386,0.00018152812652136364
2013,E08000031,251708,135136,3113,94599,0.03290732460173998,8283.036860854767,female,5-9,7660,0.030432087974955106,0.0010014385973005555,0.023036052569263558,0.0007010351783835192
2013,E08000031,251708,135136,3113,94599,0.03290732460173998,8283.036860854767,male,5-9,7996,0.03176696807411763,0.0010453659300280996,0.023036052569263558,0.0007317855465214908
2013,E06000020,168642,135136,174,63891,0.0027233882706484483,459.27764473869564,female,10-14,5033,0.029844285527923058,8.127757715262889e-05,0.0012875917594127398,3.8427256111314614e-05
2013,E06000020,168642,135136,174,63891,0.0027233882706484483,459.27764473869564,male,10-14,4997,0.029630815573819098,8.06962155834863e-05,0.0012875917594127398,3.815239395752814e-05
2013,E06000051,309085,135136,396,115139,0.0034393211683269786,1063.0425833123443,female,10-14,8393,0.027154342656550787,9.339250551067937e-05,0.0029303812455600286,7.957257645626711e-05
2013,E06000051,309085,135136,396,115139,0.0034393211683269786,1063.0425833123443,male,10-14,8467,0.02739375899833379,9.421593520301706e-05,0.0029303812455600286,8.027415761410861e-05
2013,E07000192,98106,135136,28,15648,0.0017893660531697342,175.54754601226995,female,10-14,2571,0.026206348235581923,4.689274991029485e-05,0.00020719867392848685,5.429920602920716e-06
2013,E07000192,98106,135136,28,15648,0.0017893660531697342,175.54754601226995,male,10-14,2791,0.028448820663364117,5.0905353947737426e-05,0.00020719867392848685,5.8945579162783804e-06
2013,E07000194,101716,135136,23,37749,0.0006092876632493576,61.974303955071655,female,10-14,2666,0.026210232411813285,1.596957125941629e-05,0.00017019891072697133,4.46095300639138e-06
2013,E07000194,101716,135136,23,37749,0.0006092876632493576,61.974303955071655,male,10-14,2878,0.028294466947186285,1.7239469649137314e-05,0.00017019891072697133,4.815687454011399e-06
2013,E07000196,110323,135136,6832,32707,0.20888494817623138,23044.814137646375,female,10-14,2870,0.026014520997434804,0.005434041870378652,0.050556476438550796,0.0013152025178669977
2013,E07000196,110323,135136,6832,32707,0.20888494817623138,23044.814137646375,male,10-14,2895,0.026241128323196434,0.005481376729876725,0.050556476438550796,0.0013266589857926685
2013,E07000197,131984,135136,8,20311,0.0003938752400177244,51.98522967849934,female,10-14,3331,0.025237907625166686,9.940586923407685e-06,5.9199621122424815e-05,1.4940745693326241e-06
2013,E07000197,131984,135136,8,20311,0.0003938752400177244,51.98522967849934,male,10-14,3407,0.025813734998181598,1.016739106816271e-05,5.9199621122424815e-05,1.528163331647028e-06
2013,E07000234,94806,135136,1462,35080,0.04167616875712657,3951.1508551881416,female,10-14,2455,0.0258949855494378,0.0010792037877217237,0.010818730760123135,0.0002801508766966468
2013,E07000234,94806,135136,1462,35080,0.04167616875712657,3951.1508551881416,male,10-14,2801,0.029544543594287282,0.0012313033846877996,0.010818730760123135,0.00031963446257731473
2013,E07000235,75560,135136,27,26327,0.001025563110115091,77.49154860029628,female,10-14,2060,0.02726310217046056,2.7960031853323022e-05,0.00019979872128818375,5.447132952007127e-06
2013,E07000235,75560,135136,27,26327,0.001025563110115091,77.49154860029628,male,10-14,2032,0.026892535733192165,2.757999258541378e-05,0.00019979872128818375,5.3730942516885834e-06
2013,E07000238,118906,135136,44,43322,0.0010156502469876737,120.76690826831633,female,10-14,3122,0.026256034178258458,2.6666947598065006e-05,0.0003255979161733365,8.548910015416855e-06
2013,E07000238,118906,135136,44,43322,0.0010156502469876737,120.76690826831633,male,10-14,3210,0.026996114577901874,2.7418610438753576e-05,0.0003255979161733365,8.78987865134148e-06
2013,E07000239,98473,135136,1278,36805,0.034723542996875426,3419.331449531314,female,10-14,2474,0.025123637951519708,0.0008723817226475258,0.009457139474307364,0.00023759774820952362
