msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003588,E06000046,7983,2836,3343,0.8483398145378402,6772.296739455579,male,10-14,193,0.02417637479644244,0.020509781311011294
E02003587,E06000046,8520,2504,2950,0.848813559322034,7231.891525423729,female,10-14,246,0.028873239436619718,0.024507997135354502
E02003587,E06000046,8520,2504,2950,0.848813559322034,7231.891525423729,male,10-14,267,0.031338028169014084,0.026600143232275008
E02003589,E06000046,8086,2568,2996,0.8571428571428571,6930.857142857142,female,10-14,177,0.02188968587682414,0.01876258789442069
E02003589,E06000046,8086,2568,2996,0.8571428571428571,6930.857142857142,male,10-14,211,0.026094484293841206,0.022366700823292462
E02003586,E06000046,7726,2280,2723,0.8373117884686008,6469.070877708409,female,10-14,237,0.030675640693761327,0.025685075571713487
E02003586,E06000046,7726,2280,2723,0.8373117884686008,6469.070877708409,male,10-14,228,0.02951074294589697,0.024709692955066136
E02003598,E06000046,7543,2283,2802,0.8147751605995718,6145.84903640257,female,10-14,149,0.019753413761103008,0.016094590869592494
E02003598,E06000046,7543,2283,2802,0.8147751605995718,6145.84903640257,male,10-14,197,0.026116929603605992,0.021279425512145782
E02003584,E06000046,6315,1769,2128,0.831296992481203,5249.640507518797,female,10-14,146,0.023119556611243073,0.01921921787842528
E02003584,E06000046,6315,1769,2128,0.831296992481203,5249.640507518797,male,10-14,161,0.025494853523357085,0.021193795057715546
E02003583,E06000046,6828,2171,2598,0.8356428021555042,5705.769053117783,female,10-14,180,0.026362038664323375,0.02202924785998693
E02003583,E06000046,6828,2171,2598,0.8356428021555042,5705.769053117783,male,10-14,190,0.027826596367896896,0.023253094963319537
E02003593,E06000046,5351,1571,1894,0.8294614572333685,4438.448257655755,female,10-14,116,0.021678190992337882,0.01798122389068786
E02003593,E06000046,5351,1571,1894,0.8294614572333685,4438.448257655755,male,10-14,130,0.024294524387964866,0.02015137160163295
E02003590,E06000046,7425,2148,2615,0.821414913957935,6099.005736137668,female,10-14,175,0.02356902356902357,0.019359947467022038
E02003590,E06000046,7425,2148,2615,0.821414913957935,6099.005736137668,male,10-14,145,0.019528619528619527,0.01604109932981826
E02003582,E06000046,8247,2392,2878,0.8311327310632384,6854.351633078527,female,10-14,221,0.026797623378198132,0.022272381904325896
E02003582,E06000046,8247,2392,2878,0.8311327310632384,6854.351633078527,male,10-14,264,0.03201164059658058,0.026605922274850848
E02003585,E06000046,6821,2025,2506,0.8080606544293695,5511.781723862729,female,10-14,164,0.02404339539656942,0.019428521818855973
E02003585,E06000046,6821,2025,2506,0.8080606544293695,5511.781723862729,male,10-14,155,0.022723940771147925,0.018362322450748023
E02003594,E06000046,9212,2862,3410,0.8392961876832845,7731.596480938417,female,10-14,228,0.024750325662179766,0.02077285397218724
E02003594,E06000046,9212,2862,3410,0.8392961876832845,7731.596480938417,male,10-14,256,0.027789839339991317,0.023323906214385674
E02003591,E06000046,9438,2760,3281,0.8412069491008839,7939.311185614142,female,10-14,259,0.027442254714981986,0.02308461536523934
E02003591,E06000046,9438,2760,3281,0.8412069491008839,7939.311185614142,male,10-14,299,0.03168044077134986,0.02664980692743847
