msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02005522,E07000144,5302,124740,15,1851,0.008103727714748784,42.96596434359805,female,50-54,185,0.034892493398717465,0.00028275926579187575
E02005522,E07000144,5302,124740,15,1851,0.008103727714748784,42.96596434359805,male,50-54,188,0.03545831761599397,0.00028734455118309535
E02005523,E07000144,7746,124740,12,2488,0.00482315112540193,37.360128617363344,female,50-54,272,0.035114898011877095,0.000169364459864359
E02005523,E07000144,7746,124740,12,2488,0.00482315112540193,37.360128617363344,male,50-54,274,0.035373095791376194,0.00017060978677512634
E02005524,E07000144,5454,124740,11,1927,0.005708354955889984,31.133367929423972,female,50-54,212,0.03887055372203887,0.00022188691797738844
E02005524,E07000144,5454,124740,11,1927,0.005708354955889984,31.133367929423972,male,50-54,202,0.037037037037037035,0.00021142055392185124
E02005525,E07000144,10152,124740,23,3239,0.007100957085520223,72.0889163322013,female,50-54,367,0.036150512214342,0.0002567032358536172
E02005525,E07000144,10152,124740,23,3239,0.007100957085520223,72.0889163322013,male,50-54,345,0.033983451536643026,0.00024131503097955839
E02005530,E07000144,5154,124740,10,1838,0.00544069640914037,28.041349292709466,female,50-54,183,0.03550640279394645,0.00019317955818251605
E02005530,E07000144,5154,124740,10,1838,0.00544069640914037,28.041349292709466,male,50-54,191,0.03705859526581296,0.0002016245661904949
E02005526,E07000144,5503,124740,10,1896,0.005274261603375527,29.024261603375525,female,50-54,172,0.0312556787206978,0.00016485062616401793
E02005526,E07000144,5503,124740,10,1896,0.005274261603375527,29.024261603375525,male,50-54,150,0.027257859349445756,0.00014376508095699237
E02005542,E07000145,6887,97424,2656,3159,0.8407723963279519,5790.399493510605,female,50-54,188,0.02729780746333672,0.022951242995448665
E02005542,E07000145,6887,97424,2656,3159,0.8407723963279519,5790.399493510605,male,50-54,209,0.030347030637432843,0.025514945670472185
E02005535,E07000144,7254,124740,44,2337,0.018827556696619598,136.57509627727856,female,50-54,237,0.032671629445823,0.0006151269557621788
E02005535,E07000144,7254,124740,44,2337,0.018827556696619598,136.57509627727856,male,50-54,260,0.035842293906810034,0.0006748228206673691
E02006907,E07000148,5104,132158,22,1687,0.013040901007705987,66.56075874333136,female,50-54,116,0.022727272727272728,0.00029638411381149973
E02006907,E07000148,5104,132158,22,1687,0.013040901007705987,66.56075874333136,male,50-54,157,0.030760188087774296,0.0004011405678310815
E02005610,E07000149,7990,124495,27,2667,0.010123734533183352,80.88863892013498,female,55-59,298,0.037296620775969964,0.0003775810877207308
E02005610,E07000149,7990,124495,27,2667,0.010123734533183352,80.88863892013498,male,55-59,302,0.037797246558197745,0.0003826492902404721
E02006247,E07000202,8909,133729,8,3134,0.0025526483726866626,22.74154435226548,female,55-59,235,0.02637782018183859,6.733329976219169e-05
