msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003514,E06000043,8524,275724,23,2236,0.010286225402504472,87.67978533094812,female,40-44,346,0.04059127170342562,0.0004175309701157376
E02003514,E06000043,8524,275724,23,2236,0.010286225402504472,87.67978533094812,male,40-44,420,0.04927264195213515,0.0005068295012965601
E02003499,E06000043,7980,275724,17,2807,0.006056287851799074,48.32917705735661,female,40-44,271,0.03395989974937343,0.00020567092830044473
E02003499,E06000043,7980,275724,17,2807,0.006056287851799074,48.32917705735661,male,40-44,189,0.02368421052631579,0.00014343839648997807
E02004418,E07000065,5570,151050,1996,2272,0.8785211267605634,4893.362676056338,female,40-44,191,0.03429084380610413,0.030125230738109084
E02004418,E07000065,5570,151050,1996,2272,0.8785211267605634,4893.362676056338,male,40-44,187,0.03357271095152603,0.029494335853541352
E02004393,E07000064,6188,91065,2006,2408,0.8330564784053156,5154.953488372093,female,40-44,196,0.03167420814479638,0.026386404293381037
E02004393,E07000064,6188,91065,2006,2408,0.8330564784053156,5154.953488372093,male,40-44,190,0.03070458952811894,0.025578657223175493
E02004366,E07000061,7020,99901,2561,2925,0.8755555555555555,6146.4,female,40-44,156,0.022222222222222223,0.01945679012345679
E02004366,E07000061,7020,99901,2561,2925,0.8755555555555555,6146.4,male,40-44,230,0.03276353276353276,0.028686293130737575
E02004997,E07000105,7522,120128,12,2698,0.004447739065974796,33.45589325426241,female,45-49,332,0.044137197553842066,0.00019631073782287056
E02004997,E07000105,7522,120128,12,2698,0.004447739065974796,33.45589325426241,male,45-49,325,0.04320659399095985,0.000192171656001304
E02003517,E06000043,11246,275724,22,2931,0.007505970658478335,84.41214602524735,female,45-49,218,0.019384670104926196,0.00014550076503185816
E02003517,E06000043,11246,275724,22,2931,0.007505970658478335,84.41214602524735,male,45-49,404,0.03592388404766139,0.00026964361960032436
E02004377,E07000062,10684,90377,3845,4376,0.8786563071297989,9387.563985374773,female,45-49,399,0.03734556345937851,0.03281391487689908
E02004377,E07000062,10684,90377,3845,4376,0.8786563071297989,9387.563985374773,male,45-49,410,0.03837514039685511,0.03371855914668828
E02004369,E07000062,9620,90377,3433,3874,0.8861641713990708,8524.899328859061,female,45-49,352,0.03659043659043659,0.032425133922294486
E02004369,E07000062,9620,90377,3433,3874,0.8861641713990708,8524.899328859061,male,45-49,313,0.03253638253638254,0.02883257647067663
