ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000043,280650,81997,92198,0.8893576867177162,249598.23477732704,male,5-9,7410,0.026402993051843935,0.023481704823011856
E07000061,101340,2594,42515,0.061013759849464895,6183.134423144773,female,5-9,2490,0.02457075192421551,0.0014991539572248628
E07000061,101340,2594,42515,0.061013759849464895,6183.134423144773,male,5-9,2762,0.0272547858693507,0.001662916959781153
E07000062,91360,1555,37710,0.04123574648634314,3767.2977989923097,female,5-9,2579,0.028228984238178635,0.0011640432376125106
E07000062,91360,1555,37710,0.04123574648634314,3767.2977989923097,male,5-9,2721,0.029783274956217163,0.0012281355756276237
E07000063,100428,27303,39466,0.6918106724775757,69477.16221557796,female,5-9,2655,0.026436850280798185,0.01828929517094798
E07000063,100428,27303,39466,0.6918106724775757,69477.16221557796,male,5-9,2925,0.029125343529692916,0.020149223493417263
E07000064,92370,1643,37281,0.04407070625787935,4070.8111370403158,female,5-9,2187,0.023676518350113675,0.00104344088541715
E07000064,92370,1643,37281,0.04407070625787935,4070.8111370403158,male,5-9,2260,0.02446681823102739,0.0010782699593245354
E07000065,155005,8599,60578,0.14194922249001288,22002.839232064445,female,5-9,4176,0.026941066417212348,0.0038242634309750894
E07000065,155005,8599,60578,0.14194922249001288,22002.839232064445,male,5-9,4507,0.029076481403825682,0.004127383928018374
E07000085,117985,8,42886,0.00018654106235135008,22.00904724152404,female,5-9,3369,0.02855447726405899,5.326582523725037e-06
E07000085,117985,8,42886,0.00018654106235135008,22.00904724152404,male,5-9,3396,0.028783319913548332,5.369271074672076e-06
E07000105,123159,21,45942,0.0004570980801880632,56.29574245788167,female,5-9,3990,0.032397145153825545,1.480867285338767e-05
E07000105,123159,21,45942,0.0004570980801880632,56.29574245788167,male,5-9,4071,0.033054831559203954,1.510930004665193e-05
E07000110,161510,8,58753,0.00013616325974843838,21.991728081970283,female,5-9,4719,0.02921800507708501,3.9784188146423175e-06
E07000110,161510,8,58753,0.00013616325974843838,21.991728081970283,male,5-9,5077,0.03143458609374033,4.280235711366613e-06
E07000111,117625,54,44147,0.0012231861734659207,143.8772736539289,female,5-9,3681,0.031294367693942615,3.8278837870589196e-05
E07000111,117625,54,44147,0.0012231861734659207,143.8772736539289,male,5-9,3836,0.03261211477151966,3.989068787600656e-05
E07000115,124583,17,44968,0.00037804661092332326,47.09818092866038,female,5-9,3880,0.031143896037180034,1.177384434780423e-05
E07000115,124583,17,44968,0.00037804661092332326,47.09818092866038,male,5-9,4174,0.03350376857195605,1.2665986161787334e-05
