ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E07000010,female,2022,1060,3547,2951,3061,2944,2698,3484,3682,3525,3238,3171,3160,2201,1701,1225,816
E07000010,male,2157,1037,3823,3117,3060,2876,2698,3359,3640,3394,3138,3100,3084,1968,1421,809,352
E07000011,female,3639,1918,5448,5162,5638,5807,5509,6604,6824,6169,5245,5164,4981,3451,2469,1586,1075
E07000011,male,4047,1986,6068,5396,5797,5501,5625,6555,6776,6343,5086,4811,4931,3019,2135,1095,492
E07000012,female,3807,1815,4453,3692,4687,5668,5649,6103,6049,5241,4402,4268,4276,2984,2202,1562,1066
E07000012,male,4022,1922,4818,3732,4453,5201,5673,5936,6036,5216,4429,4063,4104,2545,1907,1088,518
E07000026,female,1917,1003,3107,2491,2497,2685,2572,3633,3935,3706,3358,3437,3185,2241,1777,1163,776
E07000026,male,2120,1012,3502,2682,2467,2527,2403,3318,3888,3616,3283,3279,3136,2183,1417,763,334
E07000027,female,1377,726,2461,2002,2017,1804,1849,2477,2677,2376,2092,2044,2052,1492,1085,605,396
E07000027,male,1488,760,2679,2083,1970,1833,1698,2245,2658,2473,2040,1966,1968,1405,827,455,159
E07000028,female,2216,1119,4176,3300,3124,3290,3063,3800,4035,4091,3523,3353,3136,2278,1851,1194,807
E07000028,male,2419,1043,3876,3152,2970,3181,2971,3784,3893,4037,3378,3277,2907,2059,1383,779,339
E07000029,female,1388,662,2135,1943,1912,1966,1891,2427,2781,2579,2349,2231,1981,1484,1140,699,441
E07000029,male,1471,696,2487,2061,1859,1804,1697,2314,2682,2834,2482,2186,2146,1367,964,488,162
E07000030,female,1051,504,1440,1180,1165,1341,1384,1944,2240,2194,2006,1981,1908,1287,1002,704,519
E07000030,male,1125,503,1710,1370,1224,1268,1245,1790,2144,2143,1975,2005,1897,1283,787,474,201
E07000031,female,2142,1065,2894,2099,2283,2690,2856,3763,4268,4318,3933,3967,4056,2792,2175,1554,1051
E07000031,male,2210,1201,3641,2345,2249,2379,2563,3456,3946,4002,3815,3791,4002,2626,1839,970,506
E07000032,female,2543,1272,4328,3682,3715,3820,3675,4849,5131,4617,4071,4071,4086,2673,1960,1233,898
E07000032,male,2751,1330,4411,3565,3336,3541,3585,4786,5005,4572,4091,3983,3900,2467,1462,870,374
E07000033,female,1742,773,2981,2483,2487,2382,2213,3157,3186,2712,2461,2306,2299,1534,1165,716,472
E07000033,male,1709,822,3098,2498,2369,2312,2245,2978,3140,2828,2432,2254,2216,1438,886,446,146
E07000034,female,2054,991,3879,3322,3248,3145,3112,3842,4124,3682,3281,3100,3140,2148,1688,1094,775
E07000034,male,2111,1053,4125,3274,3119,3164,2800,3791,4026,3727,3232,3063,2824,1889,1227,701,272
E07000035,female,1562,751,2071,1419,1446,1615,1976,2638,3163,2963,2672,2764,2763,1859,1444,961,640
E07000035,male,1632,741,2333,1769,1474,1566,1784,2552,3127,2927,2629,2686,2671,1646,1171,585,252
E07000036,female,2437,1135,4053,3803,3740,3617,3478,4318,4679,3988,3336,3168,3352,2288,1836,1293,817
E07000036,male,2550,1233,4265,3591,3442,3319,3253,4131,4530,4103,3307,3024,3037,2011,1439,782,340
E07000037,female,1953,988,3239,2593,2613,2703,2593,3493,3926,3646,2990,2822,2784,1914,1364,841,567
E07000037,male,2041,947,3449,2763,2469,2519,2470,3364,3770,3580,3119,2899,2670,1583,1064,556,227
E07000038,female,2083,1079,3222,2775,2744,2745,2826,3728,4081,3739,3510,3430,3653,2541,1834,1093,613
E07000038,male,2059,1030,3485,2738,2607,2557,2607,3527,3905,3654,3433,3253,3443,2259,1456,770,358
E07000039,female,2384,1135,3568,3348,3481,3576,3275,4126,4065,3622,3059,2861,2781,1767,1307,905,517
E07000039,male,2583,1279,3885,3087,3118,3288,3202,3941,4176,3526,2950,2873,2653,1656,985,549,230
E07000040,female,2790,1386,3682,3002,3399,3671,3678,4907,5339,5327,5342,5652,6115,4263,3423,2470,1790
E07000040,male,2964,1474,4268,3407,3316,3287,3457,4392,4967,4761,4801,5169,5448,3854,2787,1662,856
E07000041,female,2152,1082,11475,6030,4213,3874,3398,3545,3807,3391,3060,2904,2852,2107,1645,1346,1030
E07000041,male,2310,1120,11368,7181,4841,4178,3473,3678,3642,3329,2782,2584,2406,1669,1211,670,342
E07000042,female,1857,845,2643,1958,2322,2272,2327,2971,3254,3057,2762,2726,2586,1845,1324,983,645
E07000042,male,2011,999,2832,1932,1870,2065,2161,2850,2951,2923,2541,2714,2584,1641,1095,632,300
E07000043,female,2061,929,2894,2316,2503,2584,2513,3370,3716,3651,3355,3219,3511,2432,1746,1187,925
