catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2012,E02001050,R0A,632,3719
2012,E02001119,R0A,379,4520
2012,E02001185,R0A,864,4324
2012,E02001128,R0A,361,3152
2012,E02001258,R0A,489,3216
2012,E02001256,R0A,665,4757
2012,E02001110,R0A,232,2355
2012,E02001038,R0A,266,2524
2012,E02001146,R0A,307,3869
2012,E02001141,R0A,409,5789
2012,E02001201,R0A,346,2605
2012,E02001024,R0A,235,2970
2012,E02004100,R0A,305,3050
2012,E02001314,R0A,246,3235
2012,E02001032,R0A,274,3288
2012,E02001113,R0A,264,3470
2012,E02001198,R0A,565,3753
2012,E02001236,R0A,342,2977
2012,E02001229,R0A,470,3959
2012,E02001043,R0A,369,2564
2012,E02001134,R0A,196,2643
2012,E02001131,R0A,353,2316
2012,E02001040,R0A,305,2559
2012,E02001102,R0A,187,2302
2012,E02001179,R0A,551,2896
2012,E02001162,R0A,390,2714
2012,E02001143,R0A,317,4434
2012,E02001250,R0A,439,2721
2012,E02001140,R0A,209,3454
2012,E02001142,R0A,172,2457
2012,E02001234,R0A,522,3922
2012,E02001030,R0A,179,2292
2012,E02001029,R0A,230,2939
2012,E02001232,R0A,461,3988
2012,E02001173,R0A,692,3696
2012,E02001118,R0A,230,2386
2012,E02001111,R0A,231,3322
2012,E02001149,R0A,289,4500
2012,E02001033,R0A,183,2311
2012,E02001245,R0A,525,3648
2012,E02001228,R0A,403,2237
2012,E02001051,R0A,770,3894
2012,E02001034,R0A,290,3767
2012,E02004096,R0A,577,3734
2012,E02004095,R0A,515,4105
2012,E02001017,R0A,327,4224
2012,E02000988,R0A,206,3315
2012,E02001107,R0A,221,2412
2012,E02001108,R0A,152,2134
2012,E02001151,R0A,284,3710
2012,E02001148,R0A,314,4354
2012,E02001215,R0A,357,2416
2012,E02001115,R0A,171,2438
2012,E02001202,R0A,512,2992
2012,E02001180,R0A,552,2849
2012,E02001167,R0A,526,2837
2012,E02001161,R0A,340,2603
2012,E02000991,R0A,178,2918
2012,E02000984,R0A,171,2568
2012,E02001121,R0A,217,2589
2012,E02001101,R0A,201,2234
2012,E02001203,R0A,340,2311
2012,E02001170,R0A,580,3697
2012,E02001153,R0A,494,4731
2012,E02001231,R0A,433,3077
2012,E02001098,R0A,186,2508
2012,E02001155,R0A,325,3244
2012,E02001212,R0A,544,3204
2012,E02001206,R0A,494,3277
2012,E02001018,R0A,179,2716
2012,E02001011,R0A,188,3337
2012,E02001041,R0A,422,3218
2012,E02001010,R0A,175,2695
2012,E02001022,R0A,274,3437
2012,E02001047,R0A,719,4736
2012,E02001176,R0A,827,4970
2012,E02001172,R0A,1127,6184
2012,E02001013,R0A,117,2295
2012,E02001001,R0A,190,2994
2012,E02001219,R0A,341,2202
2012,E02001015,R0A,214,3541
2012,E02001190,R0A,511,3822
2012,E02000999,R0A,219,3315
2012,E02001027,R0A,215,3016
2012,E02001021,R0A,235,2757
2012,E02001014,R0A,214,3475
