catchment_year,msoa,trust_code,patients_from_msoa,total_patients_of_msoa
2014,E02000016,RF4,1530,3167
2014,E02000016,R1H,1210,3167
2014,E02000016,RDD,11,3167
2014,E02000016,RJ1,38,3167
2014,E02000016,RRV,35,3167
2014,E02000016,RJZ,24,3167
2014,E02000016,RYJ,25,3167
2014,E02000016,RQ8,26,3167
2014,E02000016,RP4,46,3167
2014,E02000016,RQX,80,3167
2014,E02000016,RP6,45,3167
2014,E02000016,RAP,9,3167
2014,E02000016,RJ7,8,3167
2014,E02000016,RAL,8,3167
2014,E02000017,RF4,1904,3467
2014,E02000017,R1H,1123,3467
2014,E02000017,RJ2,11,3467
2014,E02000017,RYJ,13,3467
2014,E02000017,RJZ,15,3467
2014,E02000017,RJ1,43,3467
2014,E02000017,RRV,40,3467
2014,E02000017,RAL,22,3467
2014,E02000017,RP4,30,3467
2014,E02000017,RQ8,33,3467
2014,E02000017,RQX,54,3467
2014,E02000017,RP6,92,3467
2014,E02000017,RQM,9,3467
2014,E02000017,RAN,8,3467
2014,E02000018,RF4,2444,3491
2014,E02000018,R1H,615,3491
2014,E02000018,RJ2,11,3491
2014,E02000018,RAN,12,3491
2014,E02000018,RJZ,13,3491
2014,E02000018,RJ1,39,3491
2014,E02000018,RRV,30,3491
2014,E02000018,RP4,33,3491
2014,E02000018,RQX,42,3491
2014,E02000018,RQ8,64,3491
2014,E02000018,RP6,88,3491
2014,E02000018,RYJ,17,3491
2014,E02000018,RAL,13,3491
2014,E02000018,RQM,8,3491
2014,E02000019,RF4,2482,3389
2014,E02000019,R1H,453,3389
2014,E02000019,RQM,10,3389
2014,E02000019,RAL,12,3389
2014,E02000019,RAP,13,3389
2014,E02000019,RJ1,37,3389
2014,E02000019,RRV,28,3389
2014,E02000019,RP4,34,3389
2014,E02000019,RQX,53,3389
2014,E02000019,RQ8,70,3389
2014,E02000019,RP6,78,3389
2014,E02000019,RJZ,19,3389
2014,E02000019,RDD,18,3389
2014,E02000019,RAN,12,3389
2014,E02000019,RYJ,9,3389
2014,E02000019,RT3,8,3389
2014,E02000020,RF4,2349,4197
2014,E02000020,R1H,1310,4197
2014,E02000020,RAN,10,4197
2014,E02000020,RQM,14,4197
2014,E02000020,RDD,15,4197
2014,E02000020,RJZ,16,4197
2014,E02000020,RJ1,59,4197
2014,E02000020,RRV,57,4197
2014,E02000020,RAL,22,4197
2014,E02000020,RP4,43,4197
2014,E02000020,RQ8,48,4197
2014,E02000020,RQX,58,4197
2014,E02000020,RP6,89,4197
2014,E02000020,RYJ,16,4197
2014,E02000020,RDE,8,4197
2014,E02000021,RF4,2466,3214
2014,E02000021,R1H,361,3214
2014,E02000021,RT3,10,3214
2014,E02000021,RDD,11,3214
2014,E02000021,RAL,12,3214
2014,E02000021,RJZ,15,3214
2014,E02000021,RRV,33,3214
2014,E02000021,RQX,26,3214
2014,E02000021,RP4,28,3214
2014,E02000021,RQ8,54,3214
2014,E02000021,RP6,70,3214
2014,E02000021,RJ1,21,3214
2014,E02000021,RYJ,19,3214
2014,E02000021,RAN,10,3214
2014,E02000021,RAP,9,3214
2014,E02000021,RQM,8,3214
2014,E02000021,R1K,8,3214
2014,E02000022,RF4,1835,3454
2014,E02000022,R1H,1204,3454
2014,E02000022,RAL,11,3454
2014,E02000022,RYJ,13,3454
2014,E02000022,RJZ,16,3454
2014,E02000022,RJ1,27,3454
2014,E02000022,RRV,38,3454
2014,E02000022,RP4,32,3454
2014,E02000022,RQ8,39,3454
2014,E02000022,RQX,69,3454
2014,E02000022,RP6,65,3454
2014,E02000022,RJ2,13,3454
2014,E02000022,RAN,11,3454
2014,E02000022,RAP,9,3454
2014,E02000022,RJ7,9,3454
2014,E02000022,RDD,9,3454
2014,E02000023,RF4,1415,2474
2014,E02000023,R1H,764,2474
2014,E02000023,RYJ,10,2474
2014,E02000023,RJ1,25,2474
2014,E02000023,RRV,29,2474
2014,E02000023,RP4,24,2474
2014,E02000023,RQ8,32,2474
2014,E02000023,RQX,36,2474
2014,E02000023,RP6,48,2474
2014,E02000023,RDD,10,2474
2014,E02000023,RJZ,9,2474
2014,E02000023,RAN,9,2474
2014,E02000023,RJ2,8,2474
2014,E02000023,RAL,8,2474
2014,E02000024,RAL,3168,4057
2014,E02000024,RRV,302,4057
2014,E02000024,RT3,14,4057
2014,E02000024,RJ1,35,4057
2014,E02000024,RAP,23,4057
2014,E02000024,RWH,25,4057
2014,E02000024,RP4,34,4057
2014,E02000024,R1H,40,4057
2014,E02000024,RAN,50,4057
2014,E02000024,RKE,52,4057
2014,E02000024,R1K,62,4057
2014,E02000024,RYJ,56,4057
2014,E02000024,RP6,78,4057
2014,E02000024,RWG,20,4057
2014,E02000024,RQM,9,4057
2014,E02000025,RAL,2642,3331
2014,E02000025,RRV,252,3331
2014,E02000025,RWH,10,3331
2014,E02000025,RT3,12,3331
2014,E02000025,RJ1,28,3331
2014,E02000025,RYJ,25,3331
2014,E02000025,R1H,30,3331
2014,E02000025,R1K,35,3331
