ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E07000067,151233,8,53807,0.0001486795398368242,22.485252848142434,female,0-4,4140,0.027374977683442107,4.070099085017504e-06
E07000067,151233,8,53807,0.0001486795398368242,22.485252848142434,male,0-4,4527,0.029933942988633434,4.450564869051749e-06
E07000071,187633,9,71809,0.0001253324792156972,23.516509072678915,female,0-4,5859,0.031225850463404627,3.913613254197129e-06
E07000071,187633,9,71809,0.0001253324792156972,23.516509072678915,male,0-4,5882,0.031348430180192184,3.928976474003672e-06
E07000077,86289,88,28632,0.003073484213467449,265.2078792958927,female,0-4,2474,0.02867109365040735,8.812015371737381e-05
E07000077,86289,88,28632,0.003073484213467449,265.2078792958927,male,0-4,2585,0.029957468506993937,9.207380653169413e-05
E07000099,132655,65,49550,0.0013118062563067608,174.01765893037336,female,0-4,4009,0.03022125061249105,3.9644425626880286e-05
E07000099,132655,65,49550,0.0013118062563067608,174.01765893037336,male,0-4,4414,0.03327428291432664,4.364941250113484e-05
E07000131,90251,81,33195,0.0024401265250790782,220.22385901491188,female,0-4,2235,0.024764268539960776,6.042794853853963e-05
E07000131,90251,81,33195,0.0024401265250790782,220.22385901491188,male,0-4,2415,0.026758706274722717,6.529462895775087e-05
E07000133,50967,200,18265,0.010949904188338352,558.0837667670407,female,0-4,1331,0.02611493711617321,0.00028595605930657774
E07000133,50967,200,18265,0.010949904188338352,558.0837667670407,male,0-4,1367,0.026821276512253026,0.00029369040801810047
E07000136,67709,307,26814,0.0114492429327963,775.2167897367048,female,0-4,2155,0.03182737893042284,0.0003643993932885736
E07000136,67709,307,26814,0.0114492429327963,775.2167897367048,male,0-4,2226,0.03287598399031148,0.00037640512735979807
E07000137,138743,137,61622,0.002223231962610756,308.4578721885041,female,0-4,3160,0.022775923830391443,5.063616183771425e-05
E07000137,138743,137,61622,0.002223231962610756,308.4578721885041,male,0-4,3233,0.023302076501156815,5.180592127257284e-05
E07000139,113644,352,43511,0.008089908299050815,919.3695387373308,female,0-4,2956,0.02601105205730175,0.0002104270259054082
E07000139,113644,352,43511,0.008089908299050815,919.3695387373308,male,0-4,3010,0.026486220126007532,0.00021427109200787507
E07000140,92527,9793,38274,0.2558656006688614,23674.476433087737,female,0-4,2594,0.028035060036529877,0.0071732074760343075
E07000140,92527,9793,38274,0.2558656006688614,23674.476433087737,male,0-4,2548,0.02753790785392372,0.007046003334207948
E07000141,140900,22480,54112,0.4154346540508575,58534.74275576582,female,0-4,3746,0.026586231369765793,0.011044841831614707
E07000141,140900,22480,54112,0.4154346540508575,58534.74275576582,male,0-4,4019,0.02852377572746629,0.011849764901564204
E07000143,137123,15,55854,0.00026855731012998175,36.82538403695349,female,0-4,3695,0.02694660997790305,7.23670909278737e-06
E07000143,137123,15,55854,0.00026855731012998175,36.82538403695349,male,0-4,3902,0.02845620355447299,7.642121483100491e-06
E07000146,151797,682,74982,0.00909551625723507,1380.6720812995118,female,0-4,4194,0.027629004525781143,0.0002513000598354637
E07000146,151797,682,74982,0.00909551625723507,1380.6720812995118,male,0-4,4393,0.028939965875478434,0.00026322393010424225
E07000150,68295,145,30076,0.004821119829764596,329.2583787737731,female,0-4,2485,0.03638626546599312,0.00017542254596917815
E07000150,68295,145,30076,0.004821119829764596,329.2583787737731,male,0-4,2629,0.038494765356175416,0.0001855878766007925
E07000152,91382,4634,36412,0.12726573657036142,11629.797539272768,female,0-4,2460,0.026919962355825,0.0034259888376604705
E07000152,91382,4634,36412,0.12726573657036142,11629.797539272768,male,0-4,2514,0.027510888358757743,0.0035011934706822853
E07000153,98947,110,42391,0.002594890424854332,256.7566228680616,female,0-4,3239,0.0327346963525928,8.494295012585709e-05
E07000153,98947,110,42391,0.002594890424854332,256.7566228680616,male,0-4,3250,0.03284586697929195,8.523142572060376e-05
E07000156,78367,43,34140,0.001259519625073228,98.70477445811366,female,0-4,2578,0.03289649980221267,4.1433787097104413e-05
E07000156,78367,43,34140,0.001259519625073228,98.70477445811366,male,0-4,2722,0.034734007937014304,4.374816465411878e-05
E07000164,90591,9,37872,0.0002376425855513308,21.52827946768061,female,0-4,2155,0.023788235034385315,5.653097679274077e-06
E07000164,90591,9,37872,0.0002376425855513308,21.52827946768061,male,0-4,2221,0.02451678422801382,5.8262319933492915e-06
E07000172,112116,15,32438,0.00046242061779394535,51.844749984585974,female,0-4,2988,0.026650968639623247,1.2323957383141645e-05
E07000172,112116,15,32438,0.00046242061779394535,51.844749984585974,male,0-4,3190,0.02845267401619751,1.3157103096459788e-05
E07000203,100720,77,38883,0.001980299873980917,199.45580330735797,female,0-4,2300,0.02283558379666402,4.522130371481443e-05
