msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003970,E07000026,7797,2447,2847,0.8595012293642431,6701.531085353004,male,0-4,193,0.024753110170578428,0.021275328622200707
E02003996,E07000028,9862,3308,3770,0.8774535809018568,8653.447214854112,female,0-4,335,0.03396876901237072,0.029806018008732716
E02003996,E07000028,9862,3308,3770,0.8774535809018568,8653.447214854112,male,0-4,338,0.034272966943824784,0.030072937572990024
E02005733,E06000057,8207,20,3981,0.005023863350916855,41.23084652097463,female,0-4,152,0.018520774948214937,9.304584249291605e-05
E02005733,E06000057,8207,20,3981,0.005023863350916855,41.23084652097463,male,0-4,186,0.022663579870841964,0.0001138587283136999
E02003969,E07000026,6718,2532,2806,0.902352102637206,6062.00142551675,female,0-4,207,0.030812741887466508,0.027803942430172916
E02003969,E07000026,6718,2532,2806,0.902352102637206,6062.00142551675,male,0-4,264,0.03929740994343554,0.03546010049065531
E02003999,E07000028,9355,3146,3636,0.8652365236523653,8094.287678767877,female,0-4,199,0.021272047033671835,0.018405352026383826
E02003999,E07000028,9355,3146,3636,0.8652365236523653,8094.287678767877,male,0-4,230,0.024585783003741316,0.021272517417428544
E02004010,E07000030,7217,2529,2968,0.852088948787062,6149.5259433962265,female,0-4,197,0.027296660662325067,0.023259182889157713
E02004010,E07000030,7217,2529,2968,0.852088948787062,6149.5259433962265,male,0-4,224,0.031037827352085354,0.02644698968107273
E02005728,E06000057,7020,642,3584,0.17912946428571427,1257.4888392857142,female,0-4,152,0.021652421652421653,0.0038785866910866908
E02005728,E06000057,7020,642,3584,0.17912946428571427,1257.4888392857142,male,0-4,152,0.021652421652421653,0.0038785866910866908
E02003972,E07000026,9259,3328,3708,0.8975188781014024,8310.127292340885,female,0-4,246,0.026568743924829896,0.02384594923997678
E02003972,E07000026,9259,3328,3708,0.8975188781014024,8310.127292340885,male,0-4,291,0.03142888000864024,0.028208013125338383
E02003973,E07000026,8784,3520,3894,0.903954802259887,7940.338983050848,female,0-4,282,0.03210382513661202,0.02902040690315211
E02003973,E07000026,8784,3520,3894,0.903954802259887,7940.338983050848,male,0-4,331,0.037682149362477234,0.03406295987568563
E02003976,E07000026,6752,2245,2634,0.8523158694001519,5754.836750189826,female,0-4,127,0.018809241706161137,0.016031415197544325
E02003976,E07000026,6752,2245,2634,0.8523158694001519,5754.836750189826,male,0-4,117,0.0173281990521327,0.014769099040257371
E02003975,E07000026,6377,2442,2762,0.8841419261404779,5638.173062997827,female,0-4,150,0.02352203230359103,0.020796814947635515
E02003975,E07000026,6377,2442,2762,0.8841419261404779,5638.173062997827,male,0-4,145,0.022737964560137994,0.02010358778271433
E02004012,E07000030,5684,1668,2089,0.7984681665868837,4538.493058879847,female,0-4,116,0.02040816326530612,0.01629526870585477
E02004012,E07000030,5684,1668,2089,0.7984681665868837,4538.493058879847,male,0-4,129,0.022695285010555948,0.01812146261254539
E02004009,E07000030,6120,1742,2134,0.8163074039362699,4995.801312089971,female,0-4,95,0.015522875816993464,0.012671438459795039
E02004009,E07000030,6120,1742,2134,0.8163074039362699,4995.801312089971,male,0-4,131,0.021405228758169935,0.017473246718243685
E02004001,E07000029,5547,2286,2583,0.8850174216027874,4909.191637630662,female,0-4,110,0.019830539030106363,0.017550372521418174
E02004001,E07000029,5547,2286,2583,0.8850174216027874,4909.191637630662,male,0-4,108,0.019469983775013522,0.017231274839210574
E02003998,E07000028,6812,2576,2901,0.8879696656325405,6048.849362288866,female,0-4,243,0.035672342924251324,0.031675958418776774
E02003998,E07000028,6812,2576,2901,0.8879696656325405,6048.849362288866,male,0-4,268,0.039342337052260715,0.03493480187749866
